x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
4.82421875,3638.044604,2.7712044,3.00E-06,2.360513658,0.295268336,31.03913338
4.86328125,3638.943431,2.772173919,3.00E-06,2.357517005,0.29509136,30.997264
4.90234375,3639.840611,2.773137572,3.00E-06,2.354593917,0.29491953,30.95847093
4.94140625,3640.735347,2.774095941,3.00E-06,2.351765264,0.294754749,30.92163615
4.98046875,3641.628663,2.775052397,3.00E-06,2.349041764,0.294598288,30.88783346
5.01953125,3642.522735,2.776011687,3.00E-06,2.346424156,0.294450678,30.86025122
5.05859375,3643.419119,2.776976805,3.00E-06,2.343921083,0.294312988,30.83319562
5.09765625,3644.319325,2.777949049,3.00E-06,2.341529234,0.294185112,30.80951915
5.13671875,3645.224171,2.778927574,3.00E-06,2.339224428,0.294064937,30.78817331
5.17578125,3646.131418,2.779907268,3.00E-06,2.336926882,0.293961375,30.76675817
5.21484375,3647.037334,2.780881885,3.00E-06,2.334638528,0.293860301,30.74105617
5.25390625,3647.94015,2.781849449,3.00E-06,2.332362668,0.293759314,30.71630167
5.29296875,3648.840735,2.78281248,3.00E-06,2.330135022,0.293661392,30.69758863
5.33203125,3649.740739,2.783773592,3.00E-06,2.327979695,0.293568643,30.67859922
5.37109375,3650.640451,2.784731668,3.00E-06,2.325882499,0.293479902,30.65551947
5.41015625,3651.538543,2.785682685,3.00E-06,2.323825423,0.29339347,30.63376694
5.44921875,3652.434863,2.786625177,3.00E-06,2.321810817,0.293309434,30.61537381
5.48828125,3653.331819,2.787562611,3.00E-06,2.319864105,0.293230078,30.60330888
5.52734375,3654.231446,2.788499035,3.00E-06,2.317989458,0.293156075,30.59377798
5.56640625,3655.133927,2.789436516,3.00E-06,2.31615845,0.293085374,30.58093682
5.60546875,3656.038212,2.790375734,3.00E-06,2.314343055,0.293015833,30.56977325
5.64453125,3656.943331,2.791317022,3.00E-06,2.31253272,0.292946649,30.55990896
5.68359375,3657.849181,2.792260573,3.00E-06,2.310728702,0.292877938,30.54932331
5.72265625,3658.755529,2.793204933,3.00E-06,2.308951255,0.292811195,30.53877954
5.76171875,3659.661219,2.794146802,3.00E-06,2.307214659,0.292747303,30.53120068
