x/d,Reb,Prb,Bo,Cp_bar/Cpb,Dens_w/Dens_b,Nu
2.83203125,3593.1178229999996,2.726464052,3e-06,2.536278504,0.307036617,0.0
2.87109375,3593.996924,2.727299618,3e-06,2.531840776,0.306673859,0.0
2.91015625,3594.8799670000003,2.7281409830000003,3e-06,2.527523334,0.306321178,0.0
2.94921875,3595.766731,2.728987102,3e-06,2.52328908,0.305975067,0.0
2.98828125,3596.655549,2.7298350819999997,3e-06,2.519114924,0.30563317100000004,0.0
3.02734375,3597.5453549999997,2.730683165,3e-06,2.514904267,0.305316498,0.0
3.06640625,3598.4363310000003,2.731531589,3e-06,2.5106743380000003,0.30502364,0.0
3.10546875,3599.328254,2.732379737,3e-06,2.506527686,0.304736293,0.0
3.14453125,3600.2192200000004,2.733223971,3e-06,2.502459375,0.30445386399999996,0.0
3.18359375,3601.1068479999994,2.7340598660000004,3e-06,2.498438824,0.30417352,0.0
3.22265625,3601.9905289999997,2.734886206,3e-06,2.494455915,0.303894351,0.0
3.26171875,3602.870632,2.735704375,3e-06,2.490528948,0.303618049,0.0
3.30078125,3603.7470280000002,2.73651553,3e-06,2.486677256,0.303346406,0.0
3.33984375,3604.6208439999996,2.73732153,3e-06,2.4829078630000003,0.303080234,0.0
3.37890625,3605.494109,2.738124975,3e-06,2.479211745,0.30281901699999997,0.0
3.41796875,3606.367007,2.738927194,3e-06,2.475574651,0.302561681,0.0
3.45703125,3607.2399490000003,2.739730242,3e-06,2.4719728990000003,0.302306363,0.0
3.49609375,3608.11435,2.7405365269999997,3e-06,2.468387726,0.302051623,0.0
3.53515625,3608.9895460000002,2.7413452489999997,3e-06,2.464812202,0.30179680600000003,0.0
3.57421875,3609.8639700000003,2.742154785,3e-06,2.461249029,0.301542035,0.0
3.61328125,3610.738177,2.742966605,3e-06,2.457708278,0.301288318,0.0
3.65234375,3611.6123030000003,2.743781832,3e-06,2.454203402,0.30103695399999997,0.0
3.69140625,3612.486428,2.744600541,3e-06,2.450733654,0.300787913,0.0
3.73046875,3613.3605840000005,2.7454222660000003,3e-06,2.447293686,0.300540714,0.0
3.76953125,3614.234369,2.7462464339999997,3e-06,2.443879524,0.30029498,0.0
3.80859375,3615.1083270000004,2.747074348,3e-06,2.440504902,0.30005207300000003,0.0
3.84765625,3615.984143,2.747908788,3e-06,2.4371722030000003,0.29981245100000004,0.0
3.88671875,3616.861421,2.748748661,3e-06,2.433872163,0.29957523,0.0
3.92578125,3617.738621,2.749589421,3e-06,2.430595871,0.299339281,0.0
3.96484375,3618.6163490000004,2.7504291339999996,3e-06,2.427262348,0.299123965,0.0
4.00390625,3619.495557,2.751268364,3e-06,2.423943277,0.29891884,0.0
4.04296875,3620.37626,2.7521075610000003,3e-06,2.4206852569999997,0.298717784,0.0
4.08203125,3621.25755,2.752945972,3e-06,2.41750615,0.298522229,0.0
4.12109375,3622.128436,2.753873917,3e-06,2.41428984,0.298334975,0.0
4.16015625,3622.9962170000003,2.754835923,3e-06,2.4111229730000003,0.298155529,0.0
4.19921875,3623.8661869999996,2.7558003739999997,3e-06,2.408046406,0.297982904,0.0
4.23828125,3624.738461,2.756766682,3e-06,2.405042679,0.297815695,0.0
4.27734375,3625.612728,2.7577337839999996,3e-06,2.402081461,0.297651383,0.0
4.31640625,3626.489858,2.7587030539999997,3e-06,2.399134826,0.29748781399999996,0.0
4.35546875,3627.371351,2.759676111,3e-06,2.3961969869999997,0.297324651,0.0
4.39453125,3628.25728,2.760650829,3e-06,2.393264097,0.297161408,0.0
4.43359375,3629.145376,2.761621225,3e-06,2.390335958,0.296997585,0.0
4.47265625,3630.033443,2.762582876,3e-06,2.387416178,0.296833125,0.0
4.51171875,3630.9207420000002,2.7635362239999997,3e-06,2.384498597,0.296667548,0.0
4.55078125,3631.806889,2.7644839439999997,3e-06,2.381574556,0.29650034399999997,0.0
4.58984375,3632.6920840000002,2.765429258,3e-06,2.3786296869999997,0.29633056,0.0
4.62890625,3633.5773670000003,2.7663759210000003,3e-06,2.375655918,0.296157803,0.0
4.66796875,3634.4637159999997,2.7673271219999998,3e-06,2.372655459,0.295982493,0.0
4.70703125,3635.3529229999995,2.76828616,3e-06,2.36963544,0.29580548100000004,0.0
4.74609375,3636.2471969999997,2.769255207,3e-06,2.366598906,0.295627187,0.0
4.78515625,3637.1453659999997,2.770230249,3e-06,2.363551488,0.295447747,0.0
4.82421875,3638.0446039999997,2.7712044,3e-06,2.360513658,0.295268336,0.0
