StopID,Days,Hours,Predict,Target,APE
15,4,3,1873.34,1885,0.006187
16,4,3,1984.28,1995,0.005372
17,4,3,2081.26,2085,0.001795
18,4,3,2178.76,2195,0.007401
19,4,3,2305.33,2315,0.004178
20,4,3,2640.72,2655,0.005377
21,4,4,2811.54,2845,0.011761
22,4,4,2891.9,2915,0.007926
0,4,8,213.93,210,0.018737
1,4,8,387.88,380,0.020747
2,4,8,565.16,550,0.027571
3,4,8,802.45,780,0.028782
4,4,8,861.24,840,0.025283
5,4,8,956.87,930,0.028889
6,4,8,1032.61,1008,0.024412
7,4,8,1178.97,1160,0.016355
8,4,8,1243.37,1230,0.010873
9,4,8,1409.49,1390,0.014024
11,4,8,1540.48,1509,0.02086
12,4,8,1570.65,1542,0.018583
13,4,8,1710.26,1680,0.018014
14,4,8,1909.78,1890,0.010464
15,4,8,1975.4,1940,0.018247
16,4,8,2085.3,2030,0.027241
17,4,8,2225.61,2174,0.02374
18,4,8,2308.78,2254,0.024302
19,4,8,2402.74,2344,0.025058
20,4,8,2694.64,2654,0.015312
21,4,8,2867.32,2814,0.018947
22,4,8,2925.39,2874,0.017882
0,4,13,87.99,91,0.033083
1,4,13,226.38,220,0.028993
2,4,13,373.17,360,0.03658
3,4,13,576.22,560,0.02897
4,4,13,672.14,650,0.034057
7,4,13,821.17,813,0.010046
8,4,13,929.36,913,0.017916
9,4,13,1093.04,1043,0.04798
11,4,13,1228.46,1185,0.036679
13,4,13,1417.15,1364,0.038965
14,4,13,1554.03,1491,0.042276
15,4,13,1628.85,1561,0.043468
16,4,13,1770.62,1691,0.047085
17,4,13,1899.34,1821,0.043022
18,4,13,2016.63,1931,0.044343
19,4,13,2122.92,2031,0.045256
20,4,13,2504.25,2401,0.043003
21,4,13,2744.17,2675,0.025857
22,4,13,2836.8,2757,0.028945
0,5,4,137,140,0.021459
1,5,4,320.79,340,0.056488
2,5,4,460.21,480,0.041225
3,5,4,606.91,590,0.028655
4,5,4,659.51,630,0.046838
5,5,4,747.52,710,0.052849
6,5,4,819.15,780,0.05019
7,5,4,1140.39,1114,0.023686
11,5,4,1237.72,1224,0.011208
13,5,4,1435.98,1423,0.009119
14,5,4,1559.44,1543,0.010656
15,5,4,1646.92,1633,0.008526
16,5,4,1768.46,1751,0.009969
17,5,4,1905.37,1875,0.016197
18,5,4,2030.8,2003,0.013878
19,5,4,2126.9,2085,0.020096
20,5,4,2415.36,2375,0.016992
21,5,4,2580.57,2565,0.006069
22,5,4,2654.45,2635,0.007381
1,5,9,166.96,170,0.017865
2,5,9,270.16,270,0.000585
3,5,9,512.69,480,0.068108
4,5,9,574.73,530,0.084403
5,5,9,681.25,640,0.064448
6,5,9,758.77,720,0.053853
7,5,9,924.52,890,0.038792
8,5,9,1011.38,980,0.032022
9,5,9,1155.28,1120,0.031497
10,5,9,1241.38,1210,0.025935
11,5,9,1370.88,1340,0.023044
12,5,9,1402.26,1380,0.016133
13,5,9,1559.4,1540,0.012595
14,5,9,1672.33,1660,0.007429
15,5,9,1741.32,1730,0.006542
16,5,9,1867.93,1850,0.009694
17,5,9,1988.52,1968,0.010427
18,5,9,2140.26,2123,0.008128
19,5,9,2290.09,2253,0.016461
20,5,9,2577.32,2553,0.009524
21,5,10,2761.91,2733,0.010579
22,5,10,2825.08,2793,0.011485
0,6,2,179.84,190,0.053456
1,6,2,290.04,280,0.03585
2,6,2,425.22,430,0.011123
3,6,3,557.66,548,0.017628
4,6,3,657.19,650,0.011066
5,6,3,754.24,740,0.019239
6,6,3,825.55,810,0.019192
7,6,3,982.68,970,0.013075
8,6,3,1057.57,1050,0.007207
9,6,3,1260.8,1260,0.000638
11,6,3,1381.92,1380,0.001391
12,6,3,1411.32,1407,0.003073
13,6,3,1585.55,1590,0.002796
14,6,3,1769.35,1775,0.003184
16,6,3,1888.16,1870,0.00971
17,6,3,2044.89,2027,0.008824
18,6,3,2152.95,2140,0.006052
19,6,3,2316.44,2310,0.002787
20,6,3,2598.06,2640,0.015887
21,6,3,2781.98,2820,0.013482
22,6,3,2847.49,2880,0.011288
0,6,11,110.6,100,0.106037
1,6,11,269.95,250,0.079792
2,6,11,432.23,430,0.00518
3,6,11,629.07,590,0.066224
4,6,11,701.33,670,0.046756
5,6,11,788.28,760,0.037206
6,6,12,859.16,830,0.035133
7,6,12,1034.99,1008,0.026777
8,6,12,1121.79,1086,0.032959
9,6,12,1310.66,1263,0.037732
11,6,12,1406.63,1363,0.032008
13,6,12,1583.68,1538,0.029699
14,6,12,1673.55,1628,0.027978
15,6,12,1752.26,1708,0.025916
16,6,12,1888.3,1858,0.016308
17,6,12,2037.85,2004,0.016889
18,6,12,2172.98,2134,0.018268
21,6,12,2369.72,2338,0.013566
22,6,12,2456.66,2441,0.006416
0,1,3,225.13,219,0.027979
1,1,4,403.35,361,0.117316
2,1,4,601.09,570,0.05454
3,1,4,747.98,741,0.009426
4,1,4,792.31,791,0.001656
5,1,4,890.79,890,0.000891
6,1,4,971.55,967,0.004707
7,1,4,1140.41,1119,0.01913
8,1,4,1205.55,1180,0.021649
9,1,4,1318.16,1320,0.001398
10,1,4,1387.72,1391,0.002358
11,1,4,1522.49,1530,0.004911
12,1,4,1551.5,1551,0.000325
13,1,4,1728.88,1721,0.004579
14,1,4,1802.15,1801,0.000641
15,1,4,1868.54,1868,0.000291
16,1,4,1991.4,1987,0.002214
17,1,4,2106.44,2087,0.009317
18,1,4,2219.82,2188,0.014542
19,1,4,2335.82,2287,0.021348
20,1,4,2742.16,2677,0.02434
21,1,4,2900.85,2847,0.018914
22,1,4,2956.26,2898,0.020105
0,1,8,126.25,120,0.052108
1,1,8,347.07,340,0.020799
2,1,8,481.72,480,0.003589
3,1,8,666.71,820,0.18694
4,1,8,741.89,910,0.18474
5,1,8,829.79,1000,0.170212
7,1,8,996.74,1159,0.140002
8,1,8,1062.63,1220,0.12899
9,1,9,1252.78,1420,0.117762
11,1,9,1385.34,1541,0.101012
13,1,9,1522.42,1686,0.097023
14,1,9,1630.17,1807,0.09786
15,1,9,1732.11,1925,0.100204
16,1,9,1889.36,2095,0.09816
17,1,9,2036.78,2261,0.099167
18,1,9,2159.11,2402,0.10112
19,1,9,2271.23,2505,0.093321
20,1,9,2553.9,2799,0.087566
21,1,9,2713.99,2957,0.08218
22,1,9,2766.09,3008,0.080423
0,1,13,208.85,200,0.04425
1,1,13,408.46,390,0.047327
2,1,13,566.22,560,0.011099
3,1,13,760.05,770,0.012918
4,1,13,831.77,840,0.009799
5,1,13,934.17,938,0.004086
6,1,13,1028.08,1030,0.001866
7,1,13,1194.09,1199,0.004096
8,1,13,1270.6,1271,0.000313
9,1,14,1421.46,1420,0.001031
11,1,14,1529.43,1530,0.000376
12,1,14,1560.08,1573,0.008216
14,1,14,1696.46,1725,0.016543
15,1,14,1762.24,1785,0.012751
16,1,14,1881.05,1908,0.014126
17,1,14,2018.82,2048,0.01425
18,1,14,2141.44,2178,0.016786
19,1,14,2246.98,2278,0.013618
20,1,14,2578.15,2639,0.023059
21,1,14,2771.77,2809,0.013255
22,1,14,2826.53,2859,0.011358
0,2,4,256.96,229,0.122086
1,2,4,406.28,379,0.071976
2,2,4,531.28,499,0.064691
3,2,4,687.87,710,0.031176
4,2,4,758.63,781,0.028645
5,2,4,840.04,859,0.022077
6,2,4,909.81,931,0.022763
7,2,4,1062.11,1087,0.022896
8,2,4,1119.93,1141,0.01847
9,2,4,1321.44,1361,0.02907
11,2,5,1413.62,1451,0.025762
13,2,5,1557.69,1584,0.016611
14,2,5,1710.98,1740,0.016681
15,2,5,1788.28,1810,0.011999
16,2,5,1930.78,1930,0.000405
17,2,5,2026.09,2030,0.001925
18,2,5,2137.93,2145,0.003296
19,2,5,2226.94,2235,0.003607
20,2,5,2427.27,2425,0.000934
21,2,5,2587.21,2575,0.004743
22,2,5,2633.89,2615,0.007224
0,2,9,152.77,140,0.091209
1,2,9,277.69,260,0.06802
2,2,9,501.9,500,0.003803
3,2,10,695.3,760,0.085138
4,2,10,761.55,830,0.08247
5,2,10,854.49,930,0.081195
6,2,10,932.31,1007,0.074167
7,2,10,1081.52,1166,0.07245
8,2,10,1157.19,1240,0.066783
9,2,10,1278.2,1360,0.060144
11,2,10,1378.79,1461,0.05627
13,2,10,1516.81,1593,0.047829
15,2,10,1608.09,1696,0.051834
16,2,10,1744.13,1836,0.050037
17,2,10,1876.98,1972,0.048184
18,2,10,2003.49,2086,0.039555
19,2,10,2139.56,2216,0.034495
20,2,10,2431.28,2496,0.02593
21,2,10,2580.96,2691,0.040893
22,2,10,2647.39,2756,0.039409
0,3,3,109.25,110,0.006862
1,3,3,315.98,330,0.042479
2,3,3,514.26,530,0.029702
3,3,3,659.05,650,0.013916
4,3,3,783.92,780,0.00503
5,3,3,880.88,880,0.000998
6,3,3,1011.45,1010,0.00144
7,3,3,1201.28,1190,0.009477
8,3,3,1274.71,1260,0.011672
9,3,3,1472.73,1450,0.015674
11,3,3,1592.36,1570,0.014242
12,3,3,1640.36,1600,0.025225
13,3,3,1802.55,1750,0.030031
14,3,3,1934.74,1880,0.029117
15,3,3,2027.16,1987,0.020212
16,3,3,2163.18,2127,0.017008
17,3,3,2298.75,2267,0.014004
18,3,3,2377.04,2357,0.008503
19,3,3,2488.63,2477,0.004695
20,3,4,2813.96,2797,0.006063
21,3,4,3043.57,3007,0.012161
0,3,12,105.23,110,0.043343
1,3,13,311.77,330,0.055257
2,3,13,413.44,420,0.015607
3,3,13,577.85,620,0.067987
4,3,13,630.46,670,0.059018
5,3,13,725.17,770,0.058222
6,3,13,785.17,829,0.052871
7,3,13,932.63,980,0.048336
8,3,13,1002.7,1040,0.035864
9,3,13,1262.67,1270,0.005775
11,3,13,1383.73,1390,0.004509
12,3,13,1419.43,1430,0.007389
14,3,13,1491.94,1480,0.008068
15,3,13,1602.29,1593,0.005832
16,3,13,1718.28,1742,0.013617
17,3,13,1874.05,1892,0.00949
18,3,13,1962.57,1973,0.005289
19,3,13,2089.65,2103,0.006349
20,3,13,2287.73,2311,0.01007
21,3,13,2486.83,2473,0.005591
22,3,13,2541.67,2528,0.005409
0,4,4,131.39,130,0.010661
1,4,4,301.49,290,0.039624
2,4,4,521.12,520,0.002146
3,4,4,697.51,710,0.017591
4,4,4,751.97,770,0.023416
5,4,4,860.34,870,0.011106
6,4,4,944.27,955,0.011236
7,4,4,1101.58,1120,0.016448
8,4,4,1185.87,1210,0.019942
9,4,4,1425.81,1450,0.01668
10,4,4,1495.01,1520,0.016443
11,4,4,1601.25,1627,0.015829
12,4,4,1630.43,1653,0.013652
13,4,4,1773.34,1790,0.00931
14,4,4,1844.23,1870,0.013779
15,4,4,1923.22,1960,0.018765
16,4,4,2029.53,2072,0.020497
17,4,4,2142.37,2187,0.020408
18,4,4,2237.88,2296,0.025314
19,4,4,2358.87,2407,0.019997
20,4,4,2586.72,2597,0.00396
21,4,4,2761.58,2787,0.00912
22,4,4,2837.26,2857,0.006909
1,4,9,200.53,190,0.055412
3,4,9,473.1,520,0.090193
4,4,10,557.96,600,0.070062
5,4,10,645.76,680,0.050355
6,4,10,718.18,750,0.042425
7,4,10,865.54,900,0.038291
8,4,10,941.95,980,0.038829
9,4,10,1135.89,1220,0.06894
11,4,10,1261.02,1350,0.065913
12,4,10,1311.07,1385,0.053381
14,4,10,1481.36,1569,0.055856
15,4,10,1556.24,1639,0.050497
16,4,10,1661.9,1739,0.044335
