,StopID,Days,Hours,Predict,Target,APE
216,4,4,3,684.84,730,0.061867
217,5,4,3,791.19,830,0.046763
218,6,4,3,870.33,910,0.043593
219,7,4,3,1048.88,1090,0.03772
220,8,4,3,1104.96,1149,0.03833
221,9,4,3,1219.2,1250,0.024641999999999997
222,10,4,3,1276.95,1310,0.025231
223,11,4,3,1377.69,1410,0.022912000000000002
224,13,4,3,1575.82,1615,0.024258000000000002
225,14,4,3,1794.21,1825,0.016871
226,15,4,3,1873.34,1885,0.006187
227,16,4,3,1984.28,1995,0.005372
228,17,4,3,2081.26,2085,0.001795
229,18,4,3,2178.76,2195,0.0074010000000000005
230,19,4,3,2305.33,2315,0.004178
231,20,4,3,2640.72,2655,0.005377000000000001
232,21,4,4,2811.54,2845,0.011761
233,22,4,4,2891.9,2915,0.007926
234,0,4,8,213.93,210,0.018737
235,1,4,8,387.88,380,0.020747
236,2,4,8,565.16,550,0.027571
237,3,4,8,802.45,780,0.028782
238,4,4,8,861.24,840,0.025283
239,5,4,8,956.87,930,0.028888999999999998
240,6,4,8,1032.61,1008,0.024412
241,7,4,8,1178.97,1160,0.016355
242,8,4,8,1243.37,1230,0.010873
243,9,4,8,1409.49,1390,0.014024000000000002
244,11,4,8,1540.48,1509,0.02086
245,12,4,8,1570.65,1542,0.018583000000000002
246,13,4,8,1710.26,1680,0.018014
247,14,4,8,1909.78,1890,0.010464
248,15,4,8,1975.4,1940,0.018247
249,16,4,8,2085.3,2030,0.027241
250,17,4,8,2225.61,2174,0.02374
251,18,4,8,2308.78,2254,0.024302
252,19,4,8,2402.74,2344,0.025058
253,20,4,8,2694.64,2654,0.015312000000000001
254,21,4,8,2867.32,2814,0.018947
255,22,4,8,2925.39,2874,0.017882
256,0,4,13,87.99,91,0.033083
257,1,4,13,226.38,220,0.028993
258,2,4,13,373.17,360,0.03658
259,3,4,13,576.22,560,0.02897
260,4,4,13,672.14,650,0.034057
261,7,4,13,821.17,813,0.010046
262,8,4,13,929.36,913,0.017916
263,9,4,13,1093.04,1043,0.04798
264,11,4,13,1228.46,1185,0.036679
265,13,4,13,1417.15,1364,0.038965
266,14,4,13,1554.03,1491,0.042276
267,15,4,13,1628.85,1561,0.043468
268,16,4,13,1770.62,1691,0.047085
269,17,4,13,1899.34,1821,0.043022000000000005
270,18,4,13,2016.63,1931,0.044343
271,19,4,13,2122.92,2031,0.045256
272,20,4,13,2504.25,2401,0.043003
273,21,4,13,2744.17,2675,0.025856999999999998
274,22,4,13,2836.8,2757,0.028945
275,0,10,4,137.0,140,0.021459
276,1,10,4,320.79,340,0.056488
277,2,10,4,460.21,480,0.041225
278,3,10,4,606.91,590,0.028655
279,4,10,4,659.51,630,0.046838
280,5,10,4,747.52,710,0.052849
281,6,10,4,819.15,780,0.05019
282,7,10,4,1140.39,1114,0.023686000000000002
